date,NO2,CO,SO2,O3
2025-01-01,3.2924873840931444e-05,,,0.1181918275025155
2025-01-02,3.199590998216688e-05,,,0.1193164629447791
2025-01-03,3.882173575675552e-05,,6.25797482724819e-05,0.1176787418209844
2025-01-04,2.499153249248463e-05,,,0.1180748942618568
2025-01-05,2.8087631929136274e-05,,3.460533116594888e-05,0.120177071645028
2025-01-06,3.6560784163621646e-05,0.0274167163618679,8.771464077604783e-05,0.1201093249643842
2025-01-07,2.732348059453216e-05,0.0304370125134785,9.47259832173586e-06,0.1185998952844076
2025-01-08,2.5407921384612564e-05,0.0312298734982808,2.9236448674716733e-05,0.1170928970807128
2025-01-09,4.12196482752084e-05,0.032349944114685,-1.4557210508630507e-05,0.1184421670105722
2025-01-10,5.019345189793967e-05,,0.0001161148320534,0.1191462272157271
2025-01-11,4.402308453184863e-05,0.0324161082506179,0.0001100234911535,0.1184387382947736
2025-01-12,2.448908677858223e-05,0.0260325641859145,9.600885511775102e-05,0.1183123433341582
2025-01-13,4.6325239418365526e-05,,,0.1190979594571722
2025-01-14,5.3411334398157535e-05,,-0.0001168732599514,0.119522602499827
2025-01-15,2.8950274678539824e-05,,0.0001266288309125,0.1180479366125332
2025-01-16,2.374858680317023e-05,,,0.1173257425220476
2025-01-17,1.0277817182213768e-05,0.0292874544858932,,0.1178205216096507
2025-01-18,1.8280748652917584e-05,0.0318543237188588,1.0303080780431627e-05,0.1188425620396931
2025-01-19,1.837629081689686e-05,,4.14879759773612e-05,0.1177842538389894
2025-01-20,2.2433115898618577e-05,,-6.601471250178292e-05,0.1201507011428475
2025-01-21,1.6545409398678466e-05,0.0302779720379756,5.988677983860607e-05,0.1174639063990778
2025-01-22,3.014337250843955e-05,0.0254861377179622,-9.697703838658827e-06,0.1176735878818565
2025-01-23,4.320270090829581e-05,,,0.1193266888666484
2025-01-24,5.729715991512184e-05,,,0.1183314927750163
2025-01-25,3.619261108476415e-05,,-5.473467172123492e-05,0.1179717757428685
2025-01-26,2.0134809216999985e-05,0.0263813038667043,7.878379388289018e-05,0.1175623171859317
2025-01-27,1.5294273182540753e-05,,,0.1187083315518167
2025-01-28,1.4572817521444187e-05,,,0.1182032840119467
2025-01-29,3.260333472907304e-05,0.0278787593992929,1.0158434244138852e-05,0.118022016973959
2025-01-30,2.344360806697902e-05,,,0.1193091895650414
2025-01-31,2.2855359807359563e-05,,,0.1173054915335443
2025-02-01,9.61294244916644e-06,0.0303123763629368,3.998538998600382e-05,0.1191396136871642
2025-02-02,3.4933113056467846e-05,0.0306597667581894,5.888493615202606e-06,0.1160244361187021
2025-02-03,3.5888545586631685e-05,0.0289396104358491,4.2331698794095287e-05,0.1174702230427
2025-02-04,2.3865755229919505e-05,0.0292338395522812,0.0001425905477093,0.1191666969615552
2025-02-05,1.9236992784499307e-05,0.0295565831856649,2.3251438202957317e-05,0.1203707685280177
2025-02-06,1.6783186171980764e-05,0.0312731133566962,-1.4029588783159852e-05,0.1189327603206038
2025-02-07,2.527281119708075e-05,0.0266240183264017,0.0003342358395457,0.1188448107697897
2025-02-08,1.4004690106398462e-05,0.0349489259719848,2.3014986113658253e-05,0.1192204556945297
2025-02-09,2.6826115572475828e-05,,-3.601105536444712e-05,0.1198317770742707
2025-02-10,1.592079146231017e-05,,,0.1186209633532497
2025-02-11,1.1889733162593916e-05,0.0267227590084075,-2.303758568208044e-05,0.1191652641735143
2025-02-12,1.9267313518867013e-05,0.0328031248516506,4.927136469632387e-05,0.1193087511799401
2025-02-13,1.8165330242054016e-05,0.0305165648460388,8.578441554197559e-05,0.1180395442578527
2025-02-14,2.886441037238304e-05,0.0303205872575442,2.1160736064156218e-05,0.1187435001548793
2025-02-15,3.206525818515931e-05,0.029154665329877,5.020789103582501e-05,0.119651794899255
2025-02-16,2.6902935392822007e-05,0.0272983255840483,1.4433891258456493e-05,0.120342261571851
2025-02-17,2.193076629737334e-05,,,0.1212333859875798
2025-02-18,2.289026312136114e-05,0.0305703878402709,-0.0001218074394273,0.119326501339674
2025-02-19,2.451148953696248e-05,0.0297102743181689,4.908164304777466e-06,0.1182453245338466
2025-02-20,1.7540045299593376e-05,,0.0001673289225436,0.1198215176247888
2025-02-21,2.6398873892392705e-05,0.0328195353349049,-7.71079612604808e-06,0.1192650312764777
2025-02-22,1.8708230967197443e-05,,,0.119801574283176
2025-02-23,3.2236403239949143e-05,0.032548987865448,-2.168095670640469e-05,0.1189672281551692
2025-02-24,2.0873344133178763e-05,0.0262054527799288,,0.1191378200633658
2025-02-25,1.814372485695357e-05,0.0324391082481101,-7.247981294745304e-05,0.119250316483279
2025-02-26,1.481918779155933e-05,,-0.0001627066106136,0.1184111848059627
2025-02-27,1.1655632397378212e-05,,9.037404864405592e-05,0.1182583595315615
2025-02-28,1.786436405382119e-05,0.0312335491180419,1.6892410042744716e-05,0.1190272947359416
2025-03-01,1.4812871724087823e-05,0.0307597111964571,3.94069735742754e-06,0.1171066719624731
2025-03-02,3.770912553591188e-05,0.0305900996731173,2.8157179021155056e-05,0.1168765134902464
2025-03-03,2.198291986132972e-05,0.0290577882944151,4.12870776253166e-05,0.1178957900653282
2025-03-04,1.439555783959308e-05,0.0284182156125704,3.505221823052991e-05,0.118242596483065
2025-03-05,1.548907493997831e-05,0.0256219560449773,0.0001173835586417,0.118073310289118
2025-03-06,5.4351954500377576e-05,,,0.1162388206157885
2025-03-07,3.3921098142551e-05,0.0256650894880294,5.721875932067633e-05,0.1149101861649089
2025-03-08,2.899240193789623e-05,0.0226463757712265,-2.4532882140620667e-05,0.1156146761236919
2025-03-09,2.2662805098988407e-05,,,0.1165490238409903
2025-03-10,3.392418867429697e-05,0.0253822029682627,2.336195939278696e-05,0.1147438294978605
2025-03-11,3.405167991531482e-05,0.0239115993181864,2.8815155019401573e-05,0.1148457180501686
2025-03-12,2.394379843806259e-05,0.0252046792403511,3.6409927596305976e-05,0.115481501755615
2025-03-13,2.6046776307945645e-05,,2.265707189508248e-05,0.116107753995392
2025-03-14,2.3869364397233723e-05,,,0.1167412123953302
2025-03-15,3.202413189112206e-05,,0.0001593456337494,0.1158456376029385
2025-03-16,6.256434251857475e-06,0.0249851558889661,5.832766847951072e-05,0.1139052992479668
2025-03-17,2.1514905256481143e-05,,,0.1164833490426341
2025-03-18,1.4247843864723109e-05,0.0273171166578928,0.0001854192879464,0.1170534973757134
2025-03-19,9.540753003770638e-06,,,0.1161819601224528
2025-03-20,3.448952838880359e-05,0.0278866675592237,2.4229616558711443e-05,0.1169433546149068
2025-03-21,2.1228622894601097e-05,0.0272815881990918,7.098313090541671e-05,0.1154873811950286
2025-03-22,1.4064607967156915e-05,0.0261612108775547,0.0001427536597475,0.1155402937697039
2025-03-23,1.942053097025109e-05,0.0302759160598119,2.887581940740347e-05,0.1149267265573144
2025-03-24,2.805897340641379e-05,0.027749303728342,7.793424945128591e-05,0.1147498710908823
2025-03-25,2.012089664800221e-05,0.0264128863811492,0.0001127155887526,0.1157939126715064
2025-03-26,3.611050988183706e-05,0.0272871530972994,1.0251182377234927e-05,0.1144543608857525
2025-03-27,3.2349562085679885e-05,0.0276237505453604,0.0001242576535184,0.1154653228198488
2025-03-28,2.2956178266516263e-05,0.0293570756912231,4.245005700676168e-05,0.1160927347631918
2025-03-29,2.525195825000992e-05,,,0.1167524149641394
2025-03-30,2.3565230549138505e-05,,-0.000165595265571,0.117309239692986
2025-03-31,1.5529002843727034e-05,,-0.0001287689083255,0.1175110362884071
2025-04-01,1.6663028709444916e-05,0.029168888926506,-1.4034912501480066e-05,0.1171099635668926
2025-04-02,2.6439356541482867e-05,0.0261942967772483,1.8621543528173454e-05,0.1160921818680233
2025-04-03,1.6051645487580696e-05,0.0322867110371589,4.243668601182955e-05,0.1165404020705156
2025-04-04,2.6578623630939548e-05,,2.018531579208576e-05,0.1164288882993989
2025-04-05,2.3858889392158744e-05,,,0.1177829645781053
2025-04-06,2.8474221016949743e-05,0.0266023088008799,9.943784706675531e-06,0.1161900537295474
2025-04-07,2.2526245862763973e-05,0.027086317539215,0.0001691076671704,0.1155558881453341
2025-04-08,1.4480647291748029e-05,0.0266159580599877,-1.0288886389591627e-05,0.1144515169370505
2025-04-09,2.131870823051584e-05,,6.655798642896116e-05,0.1139095406979322
2025-04-10,1.7776444504245495e-05,,0.0001587208632069,0.1152683789324429
2025-04-11,2.510856756998692e-05,,,0.1155784411562813
2025-04-12,2.1007187404017903e-05,,,0.1155725469191869
2025-04-13,1.905323800504751e-05,0.0250237137079238,4.423613120850764e-05,0.1155392948745025
2025-04-14,1.0687438445984298e-05,0.0288277864456176,0.0001169633785528,0.1147661519547303
2025-04-15,1.0057475539800484e-05,,,0.1169162870695193
2025-04-16,1.4165086213324685e-05,0.0290879271924495,0.000256996855817,0.1174811818119552
2025-04-17,1.3285786490976772e-05,0.0308952452772754,1.802967103608584e-05,0.1184044720398055
2025-04-18,2.1075668605084902e-05,0.0249901768323537,-4.9671395681798456e-05,0.1159902222247587
2025-04-19,1.901069448043321e-05,0.0340026032690908,0.0001550249807122,0.1162461251434352
2025-04-20,2.989125202551198e-05,,,0.1196621139016416
2025-04-21,2.116105945158499e-05,0.0296555310487747,0.0001088183623953,0.1182750207889411
2025-04-22,1.21208156232652e-05,0.0283889649278026,0.0002398012644227,0.1179810316405362
2025-04-23,2.314070838916781e-05,0.0242870792013699,0.0001522304597668,0.1149470104525486
2025-04-24,1.831253212003503e-05,0.0269729381515866,4.015540190297982e-05,0.1157486112788319
2025-04-25,1.0271598050983563e-05,,0.0001940843351977,0.1166594063656197
2025-04-26,3.570535045582801e-05,0.025534557259601,0.0002134621803027,0.117992616051601
2025-04-27,1.258611639612987e-05,0.0292463997999827,4.0100207932445465e-05,0.1179579528462555
2025-04-28,1.4935623004992356e-05,0.024904323346687,7.841736078262329e-06,0.1169177321717143
2025-04-29,2.0384500632846742e-05,0.0267239879159366,5.05196965403027e-05,0.1181485426301757
2025-04-30,4.42623856790967e-06,0.0275209140777587,0.0001342229726206,0.1182502305342091
2025-05-01,2.979514192702481e-05,0.0285526356607113,0.0003968872422096,0.1168978775127066
2025-05-02,2.3335075784416404e-05,0.0250124275684356,1.2275417921719728e-05,0.117322114503218
2025-05-03,1.802217597996252e-05,0.0279354585541619,-4.5756634790450335e-05,0.1174399411926667
2025-05-04,1.4848536789879476e-05,0.0264491240183512,0.0001000016151616,0.1168527933251526
2025-05-05,4.319113832025323e-05,0.0275053031860835,-1.4166805221764154e-05,0.1148565038003855
2025-05-06,3.391208627413612e-05,,-0.0001336049172095,0.1171598244291633
2025-05-07,1.734115132170826e-05,0.0258922739462418,0.0001839323784224,0.1153705418109893
2025-05-08,8.029208128458844e-06,,-9.56663958883534e-05,0.1175193393396006
2025-05-09,2.927301937340688e-05,,,0.1160973586762944
2025-05-10,3.1462460398756775e-05,0.0268829710343304,3.682437621183315e-05,0.1164651932194829
2025-05-11,2.2486907441690262e-05,0.0285691243630868,0.0001042729243636,0.1182131100859907
2025-05-12,3.0158481206564065e-05,0.0307584901650746,,0.1187586177968316
2025-05-13,2.49067207454977e-05,,,0.1185805963145362
2025-05-14,2.961930543450222e-05,0.0259598468212371,1.620533455732382e-05,0.1173526497764719
2025-05-15,2.248693245121558e-05,,0.0001385509094689,0.1195714564787017
2025-05-16,1.6003318788527984e-05,,-9.977644966805682e-05,0.1184602034174733
2025-05-18,1.991358345144868e-05,0.0328969905773798,,0.1165068677316109
